trade_id,tool,side,tags,reason_of_entry,price_of_entry,volume,price_of_exit,reason_of_exit,pnl,commission,risk_usd,comment,emotional_state,date_time
1,BNB,лонг,#acc,Отбой от границы накопления,243.61,0.07,252.17,Тейк на прогнозной цели,0.5991999999999982,0.0,0.3,"Можно было ставить цель и повыше так как накопление было очень красивое, и цена цели в итоге и достигла тем же прорывным баром",Вообще не переживал по сделке даже когда цена ультра проседала,2023-07-01 00:00:00
2,FTM,лонг,#web,Пробой паутины и недельного объема толкающим баром на М5,0.3057,171.0,0.3089,Тейк на локальной трендовой,0.5471999999999967,0.0,0.3,"Было много факторов за лонг, поэтому решил войти не дожидаясь сигналов от индикаторных связок. Цена сразу отбилась от моей трендовой и сильно упала","По началу нервничал из-за того что мог неправильно угадать движение цены, но потом расслабился ",2023-07-01 00:00:00
3,BTC,лонг,#web,Пробой паутины толкающим объемом на М60,30624.0,0.002,30475.0,Стоп,-0.298,0.0,0.3,"Надо было дождаться закрытия бара пробоя на М5, на закрытии он оказался тормозящим в шорт",FOMO,2023-07-01 00:00:00
4,DOGE,лонг,#web,Пробой паутины и дневного объема толкающим баром,0.068,740.0,0.06779,Стоп,-0.31080000000000274,0.0,0.3,"Надо было дождаться закрытия бара пробоя на М5, на закрытии он оказался тормозящим в шорт, к тому же на нем образовалась аномальная дельта за шорт. Еще нужно было ставить стоп за экстремум, ведь цена дальше рванула вверх",FOMO,2023-07-01 00:00:00
5,DASH,лонг,#trendline #vah,Тест трендовой и пробой ваха толкающим баром,38.12,0.942,37.8,Стоп,-0.30144000000000026,0.0,0.3,"Видимо не стоит входить на пробои вахов и валов, к тому же теста трендовой по сути и не было","FOMO, очень нервничал когда цена стала рисовать даун бары",2023-07-02 00:00:00
6,ETH,шорт,#trendline #vah,Тест трендовой и пробой ваха толкающим баром,1953.04,0.032,1956.82,Вышел когда понял что совершил ошибку,-0.24191999999999825,0.0,0.3,"Нет слов, рисовал же линию что войду на отбое, зачем было в моменте что-то новое придумывать, дикая спешка","Входил в состоянии парализованного транса, ужасное ощущение когда спешишь войти и не знаешь что делать",2023-07-04 00:00:00
7,FTM,шорт,#distr #ice,Тест льда,0.3152,69.0,0.3175,Вышел когда понял что уже нет смысла дожидаться стопа,-0.15870000000000167,0.0,0.3,"Не смотря на то что диапазон выгладел как распределение, на его пути был зеркальный уровень от 1-2-3, который не дал цене сразу уйти ниже. Нужно было шортить до 138% при отбое от ПОКа и радоваться жизни либо ставить стоп за верхнюю границу диапазона ведб распределение в итоге реализовалось",Опустошение,2023-07-04 00:00:00
8,BTC,лонг,#acc,Отбой от границы накопления,30503.0,0.001,30682.4,Тейк,0.17940000000000145,0.0,0.3,"Вошел в недоформировавшееся накопление где запросто мог словить стоп, теперь я понял зачем так много внимания уделялось фазам диапазонов. Повезло что за ночь накопление доформировалось а не выродилось ",Очень переживал когда началась колбасня,2023-07-05 00:00:00
9,BNB,лонг,#poc #acc,Отбой от пока накопления толкающим баром,238.51,0.15,242.69,Тейк,0.627000000000001,0.0,0.3,"Вошел в недоформировавшееся накопление где запросто мог словить стоп, теперь я понял зачем так много внимания уделялось фазам диапазонов. Повезло что за ночь сформировалось новое накопление",Очень переживал когда началась колбасня,2023-07-05 00:00:00
10,ETH,лонг,#creek #acc,Отбой от крика толкающим баром,1906.85,0.003,1932.0,Тейк,0.07545000000000028,0.0,0.3,"Вошел в недоформировавшееся накопление где запросто мог словить стоп, теперь я понял зачем так много внимания уделялось фазам диапазонов. Повезло что за ночь накопление доформировалось а не выродилось ",Очень переживал когда началась колбасня,2023-07-05 00:00:00
